Bloque,Siglas,Nombre,Creditos,Horas,Requisitos,Correquisitos,Area Disciplina
3,SE1100,Actividad Cultural 1,0,2,N/A,N/A,Formacion Basica
4,AI3208,Hidraulica para Ingenieria Ambiental,3,9,FI2103,N/A,Formacion Basica
4,AI3212,Termodinamica y Cinetica Ambiental,4,12,"F12103,QU1107",N/A,Especifico de Carrera
4,CS2101,Ambiente Humano,2,6,CS1502,N/A,Formacion Basica
4,CS4108,Derecho Ambiental,1,3,AI3104,N/A,Formacion Basica
4,FO2401,Analisis Topografico en Ingenieria Ambiental,3,9,MA1102,N/A,Especifico de Carrera
4,QU2409,Quimica Organica y Bioquimica,3,9,QU1107,QU2410,Formacion Basica
4,QU2410,Laboratorio de Quimica Organica y Bioquimica,2,6,QU1104,QU2409,Formacion Basica
5,AI3105,Laboratorio de Microbiologia AmbientaL,2,6,QU2410,AI3106,Especifico de Carrera
5,AI3106,Micrologia Ambiental,3,9,QU2409,AI3105,Especifico de Carrera
5,AI3107,Operaciones Unitarias,3,9,"AI3208,QU2604",N/A,Especifico de Carrera
5,AI3108,Dibujo e Interpretacion de Planos,3,9,FO2401,N/A,Especifico de Carrera
5,FO3401,Sistemas de Informacion Geografica,3,4,FO2401,N/A,Especifico de Carrera
5,MA2104,Calculo Superior,4,4,MA1103,N/A,Formacion Basica
6,AI3109,Laboratorio de Tratamiento de Agua Potable y Residual,2,6,AI3105,"AI3110,AI3112",Gestion del recurso hidrico
6,AI3110,Diseño de Sistemas de Potabilizacion de Agua,3,9,"AI3107,AI3108",AI3109,Gestion del recurso hidrico
6,AI3111,Administracion de Proyectos de Infraestructura Ambiental,3,9,"AI3108,CS2101",N/A,Especifico de Carrera
6,AI3112,Diseño y Tramamiento de Aguas Residuales,3,9,"AI3106,QU2604",AI3109,Gestion del recurso hidrico
6,AI3209,Hidrologia,3,9,FO3401,N/A,Gestion del recurso hidrico
6,MA2105,Ecuaciones Diferenciales,4,4,MA1103,N/A,Formacion Basica
6,SE1200,Actividad Deportiva 1,0,2,N/A,N/A,Formacion Basica
7,AE5121,Ingenieria Economica,3,3,AI3111,N/A,Formacion Basica
7,AI4101,Gestion y Diseño en Tratamiento de Residuos Solidos,3,9,AI3112,N/A,Gestion integral de residuos solidos
7,AI4102,Ingeniria en Emisiones Atmosfericas,3,4,"AI3107,AI3212",AI4103,Gestion integral de emisiones atmosfericas
7,AI4103,Laboratorio de Ingenieria en Emisiones Atmosfericas,2,6,N/A,AI4102,Gestion integral de emisiones atmosfericas
7,AI4104,Administracion de la Energia en la Industria,3,9,AI3212,AE5121,Gestion de la energia
7,MA3106,Metodos Numericas,4,4,CA2125,N/A,Formacion Basica
7,SE1400,Actividad Cultural-Deportiva,0,2,N/A,N/A,Formacion Basica
8,AE4208,Desarrollo de Emprendedores,4,4,AE5121,N/A,Formacion Basica
8,AI5104,Analisis y Diseño Experimental para Ingenieria Ambiental,3,9,MA3106,N/A,Especifico de Carrera
8,AI5105,Consumo y Produccion Sostenible,3,9,AI4101,AI5106,Gestion ambiental
8,AI5106,Gestion Ambiental,3,9,"AI4102,AI4104",AI5105,Gestion ambiental
8,AI5107,Mecanica de Suelos para Ingenieria Ambiental,3,9,"AI3209,AI3212",N/A,Especifico de Carrera
8,CS3404,Seminario de Etica para la Ingenieria,2,5,AI31111,N/A,Formacion Basica
9,AI4304,Formulacion y Evaluacion de Proyectos Ambientales,3,3,AE5121,N/A,Especifico de Carrera
9,AI5903,Practica Profesional,4,0,"AE4208,AI5104 ,AI5105,AI5106,AI5107,CS3404",N/A,N/A
9,AI6101,Metodologia de la Investigacion Ambiental,3,9,AI5104,AI6102,Especifico de Carrera
9,AI6102,Huellas y Metricas Ambientales,3,9,AI5105,N/A,Gestion ambiental
9,AI6103,Electiva 1,3,9,N/A,N/A,N/A
9,CS2404,Seminario de Problematica Urbana,1,2,AI5106,N/A,Formacion Basica
10,AI6104,Seguridad y Salud Ocupacional en Ingenieria Ambiental,3,9,AI4104,N/A,Gestion ambiental
10,AI6105,Evaluacion de Impacto Ambiental,3,9,AI6102,N/A,Ambiental
10,AI6106,Proyecto de Graduacion,8,24,AI5903,N/A,N/A
